REGION,FUEL,YEAR,VALUE
RE1,TERCLIM_SPL,2029,2.550546743578976
RE1,TERCLIM_SPL,2030,2.63600210454944
RE1,TERCLIM_SPL,2031,2.695352278082652
RE1,TERCLIM_SPL,2032,2.7496018999521814
RE1,TERCLIM_SPL,2033,2.800539981761392
RE1,TERCLIM_SPL,2034,2.845222422332987
RE1,TERCLIM_SPL,2035,2.8841354442309397
RE1,TERCLIM_SPL,2036,2.9185831944931677
RE1,TERCLIM_SPL,2037,2.9508346861226378
RE1,TERCLIM_SPL,2038,2.983542844612266
RE1,TERCLIM_SPL,2039,3.019378970846919
RE1,TERCLIM_SPL,2040,3.0606422138811915
RE1,TERCLIM_SPL,2041,3.1090242625475097
RE1,TERCLIM_SPL,2042,3.165570390834895
RE1,TERCLIM_SPL,2043,3.230730372656968
RE1,TERCLIM_SPL,2044,3.30451536742724
RE1,TERCLIM_SPL,2045,3.386649662536441
RE1,TERCLIM_SPL,2046,3.4767013557323816
RE1,TERCLIM_SPL,2047,3.574180573965712
RE1,TERCLIM_SPL,2048,3.6786056623188337
RE1,TERCLIM_SPL,2049,3.789543038970767
RE1,TERCLIM_SPL,2050,3.9066276460803806
RE1,TERCLIM_SPL,2051,4.032902324198513
RE1,TERCLIM_SPL,2052,4.164188472080374
RE1,TERCLIM_SPL,2053,4.295599148047645
RE1,TERCLIM_SPL,2054,4.431678531879166
RE1,TERDATA,2022,0.0
RE1,TERDATA,2023,0.0
RE1,TERDATA,2024,0.0
RE1,TERDATA,2025,0.0
RE1,TERDATA,2026,0.8605477369545793
RE1,TERDATA,2027,1.0128273035871267
RE1,TERDATA,2028,1.2242093950598394
RE1,TERDATA,2029,1.461457212806326
RE1,TERDATA,2030,1.4647581365462392
RE1,TERDATA,2031,1.4908168098124497
RE1,TERDATA,2032,1.4872794879216762
RE1,TERDATA,2033,1.5548571243196758
RE1,TERDATA,2034,1.534536657281397
RE1,TERDATA,2035,1.569900699996793
RE1,TERDATA,2036,1.6398155741814815
RE1,TERDATA,2037,1.6794665070238783
RE1,TERDATA,2038,1.6515940380014646
RE1,TERDATA,2039,1.82826768171102
RE1,TERDATA,2040,1.88470079356542
RE1,TERDATA,2041,1.94113390541981
RE1,TERDATA,2042,1.99756701727421
RE1,TERDATA,2043,2.05400012912861
RE1,TERDATA,2044,2.11043324098301
RE1,TERDATA,2045,2.16686635283741
RE1,TERDATA,2046,2.22329946469181
RE1,TERDATA,2047,2.27973257654621
RE1,TERDATA,2048,2.3361656884006
RE1,TERDATA,2049,2.392598800255
RE1,TERDATA,2050,2.4490319121094
RE1,TERDATA,2051,2.5054650239638
RE1,TERDATA,2052,2.5618981358182
RE1,TERDATA,2053,2.6183312476726
RE1,TERDATA,2054,2.674764359527
RE1,TERDHT,2022,19.58083148964065
RE1,TERDHT,2023,21.2804727457977
RE1,TERDHT,2024,21.884412105009623
RE1,TERDHT,2025,22.77341403864635
RE1,TERDHT,2026,23.56836919768868
RE1,TERDHT,2027,24.34878094343508
RE1,TERDHT,2028,25.12258749314964
RE1,TERDHT,2029,25.914251303143097
RE1,TERDHT,2030,26.701728543798808
