REGION,TECHNOLOGY,VALUE
RE1,CA_DEMTRADSLBUS_ART,0.05
RE1,NE_DEMTRADSLBUS_BIA,0.05
RE1,AN_DEMTRADSLBUS_BIA,0.05
RE1,SO_DEMTRADSLBUS_BIA,0.05
RE1,OR_DEMTRADSLBUS_BIA,0.05
RE1,CA_DEMTRADSLBUS_BIA,0.05
RE1,NE_DEMTRAELCBUS_ART,0.05
RE1,AN_DEMTRAELCBUS_ART,0.05
RE1,SO_DEMTRAELCBUS_ART,0.05
RE1,OR_DEMTRAELCBUS_ART,0.05
RE1,CA_DEMTRAELCBUS_ART,0.05
RE1,NE_DEMTRAELCBUS_BIA,0.05
RE1,AN_DEMTRAELCBUS_BIA,0.05
RE1,SO_DEMTRAELCBUS_BIA,0.05
RE1,OR_DEMTRAELCBUS_BIA,0.05
RE1,CA_DEMTRAELCBUS_BIA,0.05
RE1,NE_DEMTRANGSBUS_ART,0.05
RE1,AN_DEMTRANGSBUS_ART,0.05
RE1,SO_DEMTRANGSBUS_ART,0.05
RE1,OR_DEMTRANGSBUS_ART,0.05
RE1,CA_DEMTRANGSBUS_ART,0.05
RE1,NE_DEMTRANGSBUS_BIA,0.05
RE1,AN_DEMTRANGSBUS_BIA,0.05
RE1,SO_DEMTRANGSBUS_BIA,0.05
RE1,OR_DEMTRANGSBUS_BIA,0.05
RE1,CA_DEMTRANGSBUS_BIA,0.05
RE1,NE_DEMTRADSLBUS_IMU,0.05
RE1,AN_DEMTRADSLBUS_IMU,0.05
RE1,SO_DEMTRADSLBUS_IMU,0.05
RE1,OR_DEMTRADSLBUS_IMU,0.05
RE1,CA_DEMTRADSLBUS_IMU,0.05
RE1,NE_DEMTRADSLBUS_URB,0.05
RE1,AN_DEMTRADSLBUS_URB,0.05
RE1,SO_DEMTRADSLBUS_URB,0.05
RE1,OR_DEMTRADSLBUS_URB,0.05
RE1,CA_DEMTRADSLBUS_URB,0.05
RE1,NE_DEMTRAELCBUS_IMU,0.05
RE1,AN_DEMTRAELCBUS_IMU,0.05
RE1,SO_DEMTRAELCBUS_IMU,0.05
RE1,OR_DEMTRAELCBUS_IMU,0.05
RE1,CA_DEMTRAELCBUS_IMU,0.05
RE1,NE_DEMTRAELCBUS_URB,0.05
RE1,AN_DEMTRAELCBUS_URB,0.05
RE1,SO_DEMTRAELCBUS_URB,0.05
RE1,OR_DEMTRAELCBUS_URB,0.05
RE1,CA_DEMTRAELCBUS_URB,0.05
RE1,NE_DEMTRAGSLBUS_IMU,0.05
RE1,AN_DEMTRAGSLBUS_IMU,0.05
RE1,SO_DEMTRAGSLBUS_IMU,0.05
RE1,OR_DEMTRAGSLBUS_IMU,0.05
RE1,CA_DEMTRAGSLBUS_IMU,0.05
RE1,NE_DEMTRAGSLBUS_URB,0.05
RE1,AN_DEMTRAGSLBUS_URB,0.05
RE1,SO_DEMTRAGSLBUS_URB,0.05
RE1,OR_DEMTRAGSLBUS_URB,0.05
RE1,CA_DEMTRAGSLBUS_URB,0.05
RE1,NE_DEMTRAHDGBUS_IMU,0.05
RE1,AN_DEMTRAHDGBUS_IMU,0.05
RE1,SO_DEMTRAHDGBUS_IMU,0.05
RE1,OR_DEMTRAHDGBUS_IMU,0.05
